  train: 2489 patients,  28751 images  | KL0=22004  KL1=3275  KL2=3109  KL3=213  KL4=150
  val:  533 patients,   6163 images  | KL0=4737  KL1=670  KL2=679  KL3=38  KL4=39
  test:  534 patients,   6137 images  | KL0=4748  KL1=592  KL2=696  KL3=57  KL4=44

============================================================
Baseline ResNet-18 — pooled — no augmentation
============================================================

  Run 1/3
    [baseline] run=2 ep=2/50  loss=0.9264  val_acc=0.7401  KL3=0.3421  KL4=0.7436  (21s)
    [baseline] run=2 ep=3/50  loss=0.8055  val_acc=0.7769  KL3=0.3684  KL4=0.5897  (21s)
    [baseline] run=2 ep=4/50  loss=0.7303  val_acc=0.7143  KL3=0.7105  KL4=0.2821  (21s)
    [baseline] run=2 ep=5/50  loss=0.7520  val_acc=0.7045  KL3=0.0263  KL4=0.9487  (21s)
    [baseline] run=2 ep=6/50  loss=0.6860  val_acc=0.6982  KL3=0.5526  KL4=0.3846  (21s)
    [baseline] run=2 ep=7/50  loss=0.6483  val_acc=0.7287  KL3=0.5000  KL4=0.4615  (21s)
    [baseline] run=2 ep=8/50  loss=0.6176  val_acc=0.6348  KL3=0.6316  KL4=0.5385  (21s)
    [baseline] run=2 ep=9/50  loss=0.5570  val_acc=0.7696  KL3=0.5000  KL4=0.4103  (16s)
    [baseline] run=2 ep=10/50  loss=0.5522  val_acc=0.7891  KL3=0.6053  KL4=0.3333  (19s)
    [baseline] run=2 ep=11/50  loss=0.5088  val_acc=0.7777  KL3=0.4474  KL4=0.4103  (21s)
    [baseline] run=2 ep=12/50  loss=0.5421  val_acc=0.7907  KL3=0.5526  KL4=0.3333  (21s)
    [baseline] run=2 ep=13/50  loss=0.4777  val_acc=0.7217  KL3=0.2368  KL4=0.6923  (17s)
    [baseline] run=2 ep=14/50  loss=0.4667  val_acc=0.7378  KL3=0.2895  KL4=0.7179  (17s)
    [baseline] run=2 ep=15/50  loss=0.4959  val_acc=0.8071  KL3=0.4211  KL4=0.4359  (17s)
    [baseline] run=2 ep=16/50  loss=0.4550  val_acc=0.7321  KL3=0.7632  KL4=0.0513  (17s)
    [baseline] run=2 ep=17/50  loss=0.5067  val_acc=0.7982  KL3=0.3158  KL4=0.3590  (17s)
    [baseline] run=2 ep=18/50  loss=0.4619  val_acc=0.7870  KL3=0.2368  KL4=0.6154  (17s)
    [baseline] run=2 ep=19/50  loss=0.4324  val_acc=0.7670  KL3=0.4737  KL4=0.3590  (17s)
