  Training baseline on joint group: dip
  train: 2453 patients,   9220 images  | KL0=5870  KL1=1246  KL2=1827  KL3=154  KL4=123
  val:  525 patients,   1985 images  | KL0=1319  KL1=253  KL2=350  KL3=35  KL4=28
  test:  527 patients,   1987 images  | KL0=1298  KL1=275  KL2=368  KL3=26  KL4=20

============================================================
Baseline ResNet-18 — dip — no augmentation
============================================================

  Run 1/3
    [baseline_dip] run=1 ep=50/50  loss=0.3101  val_acc=0.7385  KL3=0.2857  KL4=0.5714  (9s)
  Test → acc=0.7745  macroF1=0.5805  KL3=0.4231  KL4=0.5500

  Run 2/3
    [baseline_dip] run=2 ep=1/50  loss=1.5384  val_acc=0.6378  KL3=0.3429  KL4=0.4643  (9s)
    [baseline_dip] run=2 ep=2/50  loss=1.1236  val_acc=0.6348  KL3=0.6000  KL4=0.3929  (9s)
    [baseline_dip] run=2 ep=3/50  loss=0.9366  val_acc=0.6443  KL3=0.3143  KL4=0.8214  (9s)
    [baseline_dip] run=2 ep=4/50  loss=0.8924  val_acc=0.6736  KL3=0.5429  KL4=0.7500  (8s)
    [baseline_dip] run=2 ep=5/50  loss=0.8483  val_acc=0.6987  KL3=0.1714  KL4=0.8929  (9s)
    [baseline_dip] run=2 ep=6/50  loss=0.7493  val_acc=0.7028  KL3=0.8000  KL4=0.3214  (9s)
    [baseline_dip] run=2 ep=7/50  loss=0.7640  val_acc=0.6861  KL3=0.4286  KL4=0.8214  (9s)
    [baseline_dip] run=2 ep=8/50  loss=0.8733  val_acc=0.7154  KL3=0.4571  KL4=0.7500  (9s)
    [baseline_dip] run=2 ep=9/50  loss=0.6725  val_acc=0.7355  KL3=0.7429  KL4=0.3214  (8s)
    [baseline_dip] run=2 ep=10/50  loss=0.6092  val_acc=0.7058  KL3=0.6571  KL4=0.5000  (9s)
    [baseline_dip] run=2 ep=11/50  loss=0.6576  val_acc=0.6977  KL3=0.4286  KL4=0.8571  (9s)
    [baseline_dip] run=2 ep=12/50  loss=0.6117  val_acc=0.6534  KL3=0.4571  KL4=0.7143  (8s)
    [baseline_dip] run=2 ep=13/50  loss=0.6747  val_acc=0.7184  KL3=0.2857  KL4=0.6429  (9s)
    [baseline_dip] run=2 ep=14/50  loss=0.5758  val_acc=0.7501  KL3=0.6571  KL4=0.3929  (8s)
    [baseline_dip] run=2 ep=15/50  loss=0.5457  val_acc=0.6987  KL3=0.6000  KL4=0.4643  (9s)
    [baseline_dip] run=2 ep=16/50  loss=0.5061  val_acc=0.7275  KL3=0.4286  KL4=0.6429  (9s)
    [baseline_dip] run=2 ep=17/50  loss=0.4940  val_acc=0.7486  KL3=0.5429  KL4=0.5357  (9s)
    [baseline_dip] run=2 ep=18/50  loss=0.4709  val_acc=0.7068  KL3=0.4286  KL4=0.7143  (9s)
    [baseline_dip] run=2 ep=19/50  loss=0.4601  val_acc=0.7264  KL3=0.6571  KL4=0.4643  (8s)
    [baseline_dip] run=2 ep=20/50  loss=0.4774  val_acc=0.7270  KL3=0.5714  KL4=0.4286  (8s)
    [baseline_dip] run=2 ep=21/50  loss=0.4740  val_acc=0.7254  KL3=0.5143  KL4=0.6071  (6s)
    [baseline_dip] run=2 ep=22/50  loss=0.4888  val_acc=0.7431  KL3=0.6000  KL4=0.3929  (7s)
    [baseline_dip] run=2 ep=23/50  loss=0.4414  val_acc=0.7456  KL3=0.4571  KL4=0.7143  (9s)
    [baseline_dip] run=2 ep=24/50  loss=0.4384  val_acc=0.7259  KL3=0.5429  KL4=0.5714  (8s)
    [baseline_dip] run=2 ep=25/50  loss=0.4044  val_acc=0.7678  KL3=0.4000  KL4=0.5714  (9s)
    [baseline_dip] run=2 ep=26/50  loss=0.4160  val_acc=0.7416  KL3=0.5714  KL4=0.6786  (8s)
    [baseline_dip] run=2 ep=27/50  loss=0.4198  val_acc=0.6987  KL3=0.4000  KL4=0.6429  (9s)
    [baseline_dip] run=2 ep=28/50  loss=0.4228  val_acc=0.6725  KL3=0.6000  KL4=0.5357  (9s)
    [baseline_dip] run=2 ep=29/50  loss=0.4792  val_acc=0.6942  KL3=0.2857  KL4=0.6071  (8s)
